labID,age,error,depth,cc,dR,dSTD
OS-40272,13550,60,458.5,2,400,200
OS-39555,13500,55,459.5,2,400,200
OS-48338,13820,70,481,2,400,200
OS-39556,14700,55,538.5,2,400,200
OS-40273,14650,65,539.5,2,400,200
OS-48339,15110,80,560.5,2,400,200
OS-48340,16380,90,640.5,2,400,200
OS-40268,16850,100,658.5,2,400,200
OS-48341,18820,100,740.5,2,400,200
GifA100547,20120,210,800,2,400,200
OS-39557,20900,110,841.5,2,400,200
OS-40270,22300,110,918.5,2,400,200
OS-39558,22300,130,921.5,2,400,200
GifA100548,24950,270,1012,2,400,200
OS-39559,24900,120,1019.5,2,400,200
GifA100549,25760,290,1048,2,400,200
OS-40271,26200,120,1078.5,2,400,200
OS-39560,26000,110,1079.5,2,400,200
GifA100550,29030,390,1175,2,400,200
OS-39305,29600,240,1199.5,2,400,200
OS-62137,29660,140,1203,2,400,200
GifA100551,29950,360,1216,2,400,200
GifA100552,32410,420,1267,2,400,200
OS-39306,31800,360,1279.5,2,400,200
OS-62133,32270,190,1283,2,400,200
KIA14285,34320,720,1336,2,400,200
OS-48342,33740,430,1340.5,2,400,200
OS-62138,33740,230,1351,2,400,200
OS-39307,35300,460,1361.5,2,400,200
OS-39308,35700,490,1378.5,2,400,200
KIA15625,36010,600,1404,2,400,200
KIA14284,36640,970,1416,2,400,200
GifA100554,37700,680,1439,2,400,200
OS-62095,40450,430,1474,2,400,200
OS-48343,41370,1120,1481.5,2,400,200
GifA100555,42200,1100,1483,2,400,200
OS-62102,46940,960,1535,2,400,200
OS-48344,45200,1700,1540.5,2,400,200
OS-62132,45200,770,1546,2,400,200
GifA100556,46900,1800,1548,2,400,200
OS-62103,48130,1400,1598,2,400,200
