labID,age,error,depth,cc,dR,dSTD
none,12960,110,154,2,400,200
none,13890,130,172,2,400,200
none,13920,110,186,2,400,200
none,14050,120,186,2,400,200
none,15050,140,226,2,400,200
none,16180,120,246,2,400,200
none,17780,140,278,2,400,200
none,19170,150,314,2,400,200
none,21160,190,346,2,400,200
none,21070,180,346,2,400,200
none,22700,220,370,2,400,200
none,24480,220,390,2,400,200
none,26310,200,414,2,400,200
none,26710,200,414,2,400,200
none,27110,310,422,2,400,200
none,29640,360,450,2,400,200
