labID,age,error,depth,cc,dR,dSTD
KIA27687,790,25,13.5,2,400,200
KIA29278,4830,35,126,2,400,200
KIA29279,5935,40,156.5,2,400,200
KIA29280,7820,40,190,2,400,200
KIA29281,10540,50,260.5,2,400,200
KIA27894,11735,55,340.5,2,400,200
KIA29282,12240,70,400.5,2,400,200
KIA29283,12895,55,457,2,400,200
KIA29284,13800,70,632,2,400,200
KIA29285,15840,70,1185,2,400,200
KIA29286,16900,110,1294.5,2,400,200
KIA29287,18660,130,1457,2,400,200
KIA29288,19580,140,1557.5,2,400,200
KIA29289,22880,210,1960,2,400,200
KIA29691,27190,960,2212,2,400,200
KIA29692,30100,1000,2336,2,400,200
KIA29693,31660,1000,2414,2,400,200
KIA29694,36480,1000,2684,2,400,200
KIA27686,43280,700,2908.5,2,400,200
