0.13	2.72
0.62	2.83
1.25	2.75
1.89	2.74
1.99	2.9
3.4	3.68
3.42	3.26
9.16	4.34
10.55	4.57
11.842	4.44
12.922	4.51
12.962	4.3
14.882	4.35
15.242	4.35
15.572	4.33
20.402	4.2
20.932	4.25
20.972	4.11
22.542	4.11
23.352	3.85
24.137	3.96
24.197	3.74
24.837	4.07
25.047	3.89
25.432	3.75
25.832	3.63
25.942	3.7
26.042	4.02
26.702	3.67
26.827	3.87
26.997	3.86
29.172	3.6
30.439	3.94
30.599	3.73
31.019	3.79
31.319	3.45
31.769	3.8
32.579	3.92
32.964	3.75
34.519	3.97
34.729	4.39
34.989	4.08
