"X1" "X2"
"1" 930 0.00102590916398308
"2" 935 0.00104773771652868
"3" 940 0.0010655002431349
"4" 945 0.00108808230566614
"5" 950 0.00111109007693833
"6" 955 0.00114402556241037
"7" 960 0.00117781839696515
"8" 965 0.00120747580471498
"9" 970 0.00123778033960153
"10" 975 0.00126353388199096
"11" 980 0.00128974622441373
"12" 985 0.00130569553327811
"13" 990 0.00132181229923505
"14" 995 0.0013435632145494
"15" 1000 0.00136103857917013
"16" 1005 0.00138332356232816
"17" 1010 0.00140023668002305
"18" 1015 0.00140591250090282
"19" 1020 0.00140591250090282
"20" 1025 0.00141062907485495
"21" 1030 0.00142305465650317
"22" 1035 0.00145102016113372
"23" 1040 0.00148639319126799
"24" 1045 0.00153464516178284
"25" 1050 0.00158414859572915
"26" 1055 0.00163491057320337
"27" 1060 0.00168139815707062
"28" 1065 0.00171446324713021
"29" 1070 0.00174127147120075
"30" 1075 0.00176839626512587
"31" 1080 0.00178894750982464
"32" 1085 0.0018096765955851
"33" 1090 0.00182359469676351
"34" 1095 0.00183653660488583
"35" 1100 0.00185166749022921
"36" 1105 0.00186582201288755
"37" 1110 0.00188005515463081
"38" 1115 0.00190155202830328
"39" 1120 0.0019232251095944
"40" 1125 0.00194507391023341
"41" 1130 0.00196709788142157
"42" 1135 0.00199673459948804
"43" 1140 0.00202668001696756
"44" 1145 0.0020558616295503
"45" 1150 0.00208641776465011
"46" 1155 0.00210953374827756
"47" 1160 0.00214061828081275
"48" 1165 0.00220367967181148
"49" 1170 0.0022841478683929
"50" 1175 0.00237470718045176
"51" 1180 0.00245033554489117
"52" 1185 0.00250149267635428
"53" 1190 0.00251867259132498
"54" 1195 0.0025176562878615
"55" 1200 0.00251867259132498
"56" 1205 0.00252728607291784
"57" 1210 0.00254455963683532
"58" 1215 0.00257929059228506
"59" 1220 0.00264064355043667
"60" 1225 0.00269379066996021
"61" 1230 0.00274845818465965
"62" 1235 0.00280153399732633
"63" 1240 0.0028479716440416
"64" 1245 0.00290285222652266
"65" 1250 0.00295811984040519
"66" 1255 0.00303235873106049
"67" 1260 0.00311653826068775
"68" 1265 0.00320130438680968
"69" 1270 0.00327704364152997
"70" 1275 0.00337208878985436
"71" 1280 0.0034578341323036
"72" 1285 0.00356267436490295
"73" 1290 0.00364830026675701
"74" 1295 0.0037423006889561
"75" 1300 0.00381844759507702
"76" 1305 0.00388327211744951
"77" 1310 0.00393050726766858
"78" 1315 0.00396684876075957
"79" 1320 0.00400435435556754
"80" 1325 0.00405009084120399
"81" 1330 0.00409546701334235
"82" 1335 0.00414045013829634
"83" 1340 0.00419386454931694
"84" 1345 0.00424660787124595
"85" 1350 0.00429000620920766
"86" 1355 0.00433286458596686
"87" 1360 0.00436673980923082
"88" 1365 0.00440023050506388
"89" 1370 0.00444152673199753
"90" 1375 0.00449020576345808
"91" 1380 0.00453000168540642
"92" 1385 0.00456866426303754
"93" 1390 0.00461491586217928
"94" 1395 0.00465188653607939
"95" 1400 0.00469558551660117
"96" 1405 0.00474496098097834
"97" 1410 0.00479252312942938
"98" 1415 0.00482533856909023
"99" 1420 0.00485087300102351
"100" 1425 0.00485715490180106
"101" 1430 0.0048633956465055
"102" 1435 0.004875752730227
"103" 1440 0.00488816527387065
"104" 1445 0.00489996277736575
"105" 1450 0.00490017875623756
"106" 1455 0.00489996277736575
"107" 1460 0.00490017875623756
"108" 1465 0.00491787775306795
"109" 1470 0.0049351858904823
"110" 1475 0.00496314805850015
"111" 1480 0.00498470604715396
"112" 1485 0.00500039220717473
"113" 1490 0.00501565881114394
"114" 1495 0.00503050047739522
"115" 1500 0.00505427807269899
"116" 1505 0.00507683724692659
"117" 1510 0.005106330636042
"118" 1515 0.00514058465392193
"119" 1520 0.00517061125086971
"120" 1525 0.00519363217496045
"121" 1530 0.00521099843440654
"122" 1535 0.00522368127050989
"123" 1540 0.00523440481295856
"124" 1545 0.00524308010016743
"125" 1550 0.00524973780077352
"126" 1555 0.00525435334641866
"127" 1560 0.00525691979297464
"128" 1565 0.00525749033780281
"129" 1570 0.00525714822045778
"130" 1575 0.00525663455266659
"131" 1580 0.00525589403505212
"132" 1585 0.00525435533323581
"133" 1590 0.00525151134415521
"134" 1595 0.00524667760434701
"135" 1600 0.00524043066445762
"136" 1605 0.00523276083843078
"137" 1610 0.00522172374865759
"138" 1615 0.00520868774087602
"139" 1620 0.00519631137144312
"140" 1625 0.00518542901825128
"141" 1630 0.005176699506525
"142" 1635 0.00516748691943862
"143" 1640 0.00516430928859611
"144" 1645 0.00516430928859611
"145" 1650 0.00516107848817907
"146" 1655 0.00515445790826877
"147" 1660 0.00514762625944852
"148" 1665 0.00514413163050266
"149" 1670 0.0051369854737441
"150" 1675 0.00512206966695751
"151" 1680 0.00509815556439507
"152" 1685 0.00506784415986598
"153" 1690 0.00503036091827611
"154" 1695 0.00499504931183631
"155" 1700 0.00496296866244446
"156" 1705 0.0049292612632542
"157" 1710 0.00488794238874028
"158" 1715 0.00485739536838401
"159" 1720 0.00483203756460369
"160" 1725 0.00480631642713462
"161" 1730 0.0047797034439841
"162" 1735 0.0047593414397471
"163" 1740 0.00473832338234423
"164" 1745 0.00472433176300944
"165" 1750 0.00471728146760629
"166" 1755 0.00470341185661294
"167" 1760 0.0046890697440638
"168" 1765 0.00466729509381554
"169" 1770 0.00464521286594061
"170" 1775 0.00461530358389661
"171" 1780 0.00459253106015824
"172" 1785 0.00456172715495044
"173" 1790 0.00453830310951126
"174" 1795 0.00450665658630053
"175" 1800 0.00446645645405762
