labID,age,error,depth,cc,dR,dSTD
none,2415.5,200,37.437,2,400,200
none,8073.6,300,130.55,2,400,200
none,11998,400,183.36,2,400,200
none,15530,500,270.99,2,400,200
none,25183,600,471.85,2,400,200
none,27844,700,565.2,2,400,200
