depth	min	max	median	wmean
154	13628.9	15278.7	14464.2	14465.1
172	14676.8	15883.9	15370.3	15356.5
186	15344.3	16303.3	15862.1	15856.1
186	15344.3	16303.3	15862.1	15856.1
226	16772.2	18088.9	17447.1	17450.7
246	17975	19138.2	18570.6	18563.8
278	19677.3	21195.2	20407.1	20420.8
314	21447.5	23081.4	22206.1	22228.2
346	23853.1	25075.8	24382.2	24419.9
346	23853.1	25075.8	24382.2	24419.9
370	25515.7	26939.4	26145.2	26180.5
390	27147.5	28433.8	27741.5	27770.5
414	29030.2	30579	29801.7	29809.2
414	29030.2	30579	29801.7	29809.2
422	29840.9	30946.5	30429.8	30419.1
450	31386.5	33493.1	32403.5	32430.9
